Performing real default function...
Caught an exception executing update: java.sql.SQLException: Table 'finance.QQQ_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.BIDU_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.CHKP_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.CTRX_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.DISCK_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.FB_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.FOXA_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.GOOGL_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.KRFT_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.LMCA_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.LVNTA_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.MDLZ_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.MNST_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.NXPI_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.QVCA_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.STX_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.TRIP_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.VIAB_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.VIP_DIV' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.VOD_DIV' doesn't exist
FISV,71.32,1.4627033090297252,2.061787789582124
XLNX,43.01,2.425482445942804,3.745174627637389
DLTR,68.7,1.5184861717612808,4.465724642987361
TXN,54.23,1.92365849160981,4.487468015643138
ADP,85.7,1.217269544924154,4.526159133192666
MAR,77.43,1.347281415472039,4.677683131909969
FAST,47.31,2.205030648911435,4.724456063808271
EXPD,43.73,2.3855476789389436,5.251025026302249
CELG,113.5,0.9191189427312775,5.459536404548309
PCAR,69.24,1.5066435586366262,5.523400507215679
MSFT,47.66,2.188837599664289,5.675136280705151
LLTC,45.95,2.2702937976060933,5.676736415441717
COST,143.21,0.7284407513441797,5.938256569181234
SBUX,79.44,1.3131923464249748,6.746189963812226
LBTYA,50.53,2.064516129032258,6.8987685776521825
INTC,36.37,2.868298047841628,7.2245500164165914
MU,34.49,3.0246448245868365,7.710077543621212
DISCK,34.54,3.0202663578459754,8.014083837059273
AMGN,164.53,0.634048501792986,8.48202451729231
GOOG,516.35,0.20203350440592618,9.178245914856992
AAPL,112.94,0.9236762882946697,9.407733533430536
HSIC,137.51,0.7586357355828667,9.943613096917648
ORLY,193.14,0.5401263332297815,10.815210025504674
GOOGL,520.04,0.20059995384970386,11.321675798844806
BIDU,234.6,0.4446717817561807,11.779363775788012
PAYX,46.3,2.253131749460043,12.135868530035367
BIIB,352.29,0.29611967413210705,13.015390216986454
MDLZ,37.3,2.7967828418230565,13.579493101722987
MXIM,31.12,3.352185089974293,14.215621834917995
FOXA,38.51,2.7089067774604,14.568553369449951
CHRW,76.81,1.358156490040359,14.872149307256727
CTSH,53.49,1.9502710787063,15.782998526111559
TSCO,76.38,1.3658025661167845,15.929355007707267
ROST,91.02,1.1461217314875851,17.22866431834559
CSCO,27.77,3.756571840115232,18.496888336324194
GILD,108.45,0.9619179345320423,18.827811335521883
AMAT,25.4,4.1070866141732285,19.162401377506185
KLAC,69.72,1.4962707974756166,19.791617643370603
ALTR,38.01,2.7445409102867666,19.846485595371487
MYL,57.51,1.8139454007998608,20.959007828382255
CMCSA,57.22,1.823138762670395,21.074945097785175
GRMN,53.3,1.9572232645403378,21.590840835088475
VOD,35.09,2.972926759760615,22.340584710321842
DISCA,35.43,2.9443974033305107,22.858374472156914
ADI,57.49,1.8145764480779265,23.130104842379716
INTU,93.92,1.110732538330494,23.359571131987465
SRCL,132.07,0.7898841523434542,24.12975865019361
CTRX,50.29,2.0743686617617816,25.022252294060678
SYMC,25.83,4.038714672861015,25.800360129319678
QCOM,73.43,1.4206727495574014,25.808996105847378
AMZN,306.54,0.3403144777190578,25.930112038310384
LVNTA,36.65,2.8463847203274213,26.313731951408393
CERN,65.04,1.6039360393603934,27.777208922485297
VIP,4.12,25.320388349514563,29.216754705113626
BBBY,74.98,1.3913043478260867,30.159282698251975
MNST,111.63,0.934515811161874,31.616782459888118
CA,31.18,3.345734445157152,32.04531868975153
ADSK,60.19,1.7331782688154178,32.45320495988697
MAT,29.19,3.5738266529633433,32.46447557468035
GMCR,137.17,0.7605161478457388,34.5456380842235
CHKP,79.8,1.3072681704260651,34.60975897417535
SPLS,17.55,5.944159544159543,34.91641698459986
ADBE,74.5,1.4002684563758387,36.58027285425509
LMCA,34.38,3.0343222803955783,37.681082056684986
SIAL,136.51,0.7641930994066368,38.883314163805004
EBAY,57.14,1.8256912845642281,44.47200305277771
NVDA,20.42,5.10871694417238,45.59396388986718
WFM,48.8,2.137704918032787,45.81375403330319
FFIV,132.75,0.7858380414312617,47.88781179833918
NTAP,42.94,2.429436422915696,49.83062768722951
WDC,113.88,0.9160519845451353,50.22754453898724
BRCM,43.4,2.4036866359447004,51.99167200555924
AVGO,101.41,1.0286953949314663,55.17975997304662
NFLX,340.12,0.30671527696107254,56.29493848293716
YHOO,50.88,2.0503144654088046,56.722782395656154
ALXN,188.15,0.5544512357161838,57.07041219583556
