vad,Vermont
nan,New Mexico St.
far,Fresno St.
uaf,Utah St.
hae,Hawaii
bal,Boise St.
lap,Louisiana Tech
sag,San Jose St.
iaa,Idaho
ccm,CSU Bakersfield
paq,Presbyterian
nac,N.C. Central Eagles
flg,Fla Gulf Coast Eagles
sec,South Carolina Upstate
sdy,Sacred Heart Pioneers
say,South Dakota
san,Seattle
hba,Houston Baptist
nci,North Dakota
saw,SIU Edwardsville
bry,Bryant
