Wins and Losses,,,Wins Only 
Pepperdine,-202
Rice,-204
SIU Edwardsville,-204
N.J.I.T.,-211
Stetson,-216
SE Missouri St.,-217
Fla Gulf Coast Eagles,-217
New Orleans,-219
North Dakota,-220
N.C. Central Eagles,-223
Hartford,-224
Miss. Valley St.,-224
Florida Intl.,-224
Southern Utah,-228
Gardner-Webb,-230
Grambling St.,-234
Dartmouth,-237
Pennsylvania,-237
Florida A&amp;M,-238
CSU Bakersfield,-244
Albany,-249
Coppin St.,-250
South Carolina Upstate,-257
Tenn-Martin,-272
Chicago St.,-280
Howard,-298
Southern,-302
Presbyterian,-307
Toledo,-315
Fordham,-319
Texas Pan Amer.,-322
Wagner,-323
MD Baltimore Cty.,-359
Alcorn St.,-395
Marist,-404
Bryant,-455
