Will perform data parse...
AR Pine Bluff,-101
Charleston S.,-154
Bradley,232
Florida St.,235
Chicago St.,-135
Wis. Green Bay,49
Monmouth,-108
Florida A&amp;M,74
Southern Utah,-25
Howard,-257
N.C. State,140
Winston-Salem,-196
Arizona,310
Denver,-329
William &amp; Mary,-15
Montana,-15
Southern Miss,125
Texas Tech,234
Bucknell,199
Virginia Military,-80
Niagara,142
Florida Intl.,-73
Wisconsin,481
