// msft ibm aapl intc amat
0.755371901 0.795801165 0.64334933 0.693762742 0.660587209
0.711653117 0.797099002 0.585018733 0.724420191 0.67672956
0.711653117 0.797099002 0.585018733 0.724420191 0.67672956
0.678236915 0.741653704 0.530229442 0.646014646 0.67672956
0.678236915 0.741653704 0.530229442 0.646014646 0.67672956
0.698850575 0.773474946 0.577996428 0.691145643 0.708176101
0.698850575 0.773474946 0.577996428 0.691145643 0.708176101
0.756932153 0.790084034 0.660568074 0.673260573 0.67672956
0.756932153 0.790084034 0.660568074 0.673260573 0.67672956
0.733333333 0.808604498 0.671538353 0.777573041 0.707409112
0.733333333 0.808604498 0.671538353 0.777573041 0.707409112
0.768115942 0.787407119 0.588438539 0.758526603 0.67672956
0.768115942 0.787407119 0.588438539 0.758526603 0.67672956
0.744632768 0.802880675 0.601055955 0.774332013 0.67672956
0.744632768 0.802880675 0.601055955 0.774332013 0.67672956
0.733333333 0.777508229 0.596855389 0.676269962 0.616831387
0.733333333 0.777508229 0.596855389 0.676269962 0.616831387
0.722128852 0.814306731 0.666085903 0.757694739 0.67672956
0.722128852 0.814306731 0.666085903 0.757694739 0.67672956
0.755932203 0.801358779 0.638879882 0.699733645 0.67672956
0.755932203 0.801358779 0.638879882 0.699733645 0.67672956
0.716444444 0.774817251 0.577165498 0.68339987 0.67672956
0.716444444 0.774817251 0.577165498 0.68339987 0.67672956
0.705424263 0.774568111 0.588589226 0.673260573 0.582389937
0.705424263 0.774568111 0.588589226 0.673260573 0.582389937
0.733333333 0.791523955 0.601117964 0.742137808 0.67672956
0.733333333 0.791523955 0.601117964 0.742137808 0.67672956
0.698850575 0.780023221 0.549712907 0.706929723 0.67672956
0.698850575 0.780023221 0.549712907 0.706929723 0.67672956
0.733333333 0.797293142 0.645684913 0.742137808 0.71072582
0.733333333 0.797293142 0.645684913 0.742137808 0.71072582
0.721533923 0.777021158 0.631659988 0.732815615 0.643627938
0.721533923 0.777021158 0.631659988 0.732815615 0.643627938
0.733333333 0.794392523 0.60961313 0.663925638 0.67672956
0.733333333 0.794392523 0.60961313 0.663925638 0.67672956
0.745238095 0.769564097 0.596560493 0.797180537 0.71072582
0.745238095 0.769564097 0.596560493 0.797180537 0.71072582
0.839528024 0.825573734 0.622812731 0.724420191 0.643627938
0.839528024 0.825573734 0.622812731 0.724420191 0.643627938
0.760437158 0.731737198 0.570798708 0.663633067 0.626415094
0.760437158 0.731737198 0.570798708 0.663633067 0.626415094
0.771036847 0.78673383 0.60073182 0.697670064 0.658314919
0.771036847 0.78673383 0.60073182 0.697670064 0.658314919
0.775 0.727200538 0.618562237 0.742856089 0.67672956
0.775 0.727200538 0.618562237 0.742856089 0.67672956
0.793939394 0.815075839 0.61849444 0.77899045 0.67672956
0.793939394 0.815075839 0.61849444 0.77899045 0.67672956
0.675362319 0.773980256 0.658269355 0.741910659 0.712668464
0.675362319 0.773980256 0.658269355 0.741910659 0.712668464
0.753535354 0.779965272 0.588285675 0.724420191 0.67672956
0.753535354 0.779965272 0.588285675 0.724420191 0.67672956
0.793034826 0.821841493 0.588235294 0.689882052 0.659958071
0.793034826 0.821841493 0.588235294 0.689882052 0.659958071
0.733333333 0.770584809 0.618393335 0.724420191 0.622902147
0.733333333 0.770584809 0.618393335 0.724420191 0.622902147
0.771428571 0.804037704 0.60961313 0.724420191 0.639733629
0.771428571 0.804037704 0.60961313 0.724420191 0.639733629
0.742592593 0.773687145 0.583468328 0.688984958 0.67672956
0.742592593 0.773687145 0.583468328 0.688984958 0.67672956
0.788505747 0.808900201 0.604977994 0.742610277 0.67672956
0.788505747 0.808900201 0.604977994 0.742610277 0.67672956
0.733333333 0.781558772 0.600664024 0.742370934 0.63861254
0.733333333 0.781558772 0.600664024 0.742370934 0.63861254
0.733333333 0.809015142 0.632338353 0.795290658 0.716037736
0.733333333 0.809015142 0.632338353 0.795290658 0.716037736
0.724503311 0.792725921 0.605012971 0.758105536 0.752963598
0.724503311 0.792725921 0.605012971 0.758105536 0.752963598
0.777777778 0.804017837 0.645138371 0.740857016 0.712668464
0.777777778 0.804017837 0.645138371 0.740857016 0.712668464
0.763612903 0.776918265 0.588235294 0.659455597 0.711670161
0.763612903 0.776918265 0.588235294 0.659455597 0.711670161
0.695314997 0.795940481 0.60961313 0.741473397 0.778718341
0.695314997 0.795940481 0.60961313 0.741473397 0.778718341
0.759307359 0.808954653 0.640168243 0.741262864 0.67672956
