GAS	0.49786	0.27583
GCI	0.70279	0.34814
GD	0.61592	-0.04084
GDT	0.98176	0.44681
GDW	0.32915	-0.80008
GE	1.191	0.63264
GIS	0.54452	0.07747
GLK	0.40872	-0.14034
GLW	1.9136	-0.68527
GM	0.77586	-0.11125
GP	0.54933	-0.24952
GPC	0.72279	0.52322
GPS	0.43725	-0.42721
GPU	0.23932	-0.24978
GR	0.99798	0.54708
GT	0.88965	0.22012
GTW	0.95334	0.0837
GWW	0.44135	-0.25532
GX	0.9798	-0.7525
H	0.35151	0.26063
HAL	0.5431	-0.63416
HAS	0.1682	-0.0816
HBAN	0.2265625	-0.0276875
HCA	0.28423	-0.63769
HCR	0.52355	0.22769
HD	0.3252	-1.30687
HDI	0.9048	-0.05587
HET	0.24627	-0.35229
HI	0.28875	-1.11357
HIG	0.57395	-0.3171
HLT	0.1387	-0.02793
HM	0.12985	-0.00194
HNZ	0.2226	-0.15933
HON	1.26908	0.32738
HOT	0.20578	-0.20372
HPC	0.26921	-0.0794
HRB	0.72464	-0.18761
HRC	0.16228	-0.07698
HSY	0.50805	0.09241
HUM	0.16231	-0.16451
HWP	1.36918	0.08456
IBM	1.61302	-1.19621
IFF	0.09195	-0.15571
INTC	0.98525	-0.534375
INTU	2.185125	0.1035
IP	0.71592	-0.15213
IPG	0.77656	0.48388
IR	0.90703	0.64579
ITT	0.40298	-0.49442
ITW	0.4852	-0.2032
JBL	1.23656	0.10365
JCI	2.25129	1.49295
JCP	0.22686	-0.2778
JDSU	1.7345	-0.9323125
JNJ	0.88147	0.04696
JP	0.21007	-1.24467
JPM	1.17821	-0.76728
JWN	0.49959	0.02721
K	0.30855	0.01495
KBH	0.61646	-0.47506
KEY	0.35218	-0.15792
KG	0.7308	-0.09923
KLAC	2.74825	-0.2450625
KM	0.25271	0.11624
KMB	1.09213	0.45138
KMG	0.8157	-0.81879
KMI	0.86883	0.34995
KO	0.73101	-0.33667
KR	0.39196	0.04891
KRB	0.16702	-0.74835
KRI	1.02949	0.62703
KSE	0.4662	-0.0646
KSS	0.58419	-0.57386
LDG	0.39523	-0.55322
LEG	0.09942	-0.1302
LEH	1.61972	-1.7781
LIZ	0.30086	-0.54347
LLTC	1.9569375	-0.980265625
LLY	0.30237	-1.20734
LMT	0.98409	0.05862
LNC	0.35863	-0.51836
LOW	0.87873	-0.90503
LPX	0.16841	-0.03049
LSI	0.76772	-0.25177
LTD	0.2721	-0.13891
LTR	1.38401	-0.65041
LU	0.5896	-0.14824
LUV	0.7059	-0.03162
LXK	2.1804	0.9715
MAR	0.1858	-0.69195
MAS	0.46549	-0.0429
MAT	0.30632	0.00453
MAY	0.30534	-0.68239
MBI	0.32556	-0.75294
MCD	0.71269	0.21301
MCK	0.5079	0.13218
MDP	0.26713	-0.09071
MDR	0.07296	-0.47783
MDT	0.94413	0.03836
MEA	0.6523	-0.11706
MEDI	2.737843263	0.808375
MEL	0.38557	-0.47856
MER	1.59569	-0.69147
MERQ	5.555875	0.314
MET	0.46169	-0.33315
MHP	1.4311	0.84085
MIL	0.99652	-0.16212
MMC	0.56327	-0.93604
MMM	2.10765	0.71889
MO	1.10909	0.4982
MOLX	1.4731875	0.304125
MOT	0.33008	-0.30533
MRK	0.6382	0.13333
MRO	0.15004	-0.26245
MSFT	1.6185625	-0.05175
MTG	0.89014	-0.86802
MU	1.39808	-0.94485
MWD	1.7648	-2.18699
MXIM	2.382375	-0.403125
MYG	0.65942	0.10112
N	0.58671	0.25551
NAV	0.34587	-0.34514
NBR	0.45265	-1.04963
NCC	0.14945	-0.3379
NCR	0.69131	0.38827
NE	0.366	-1.07943
NEM	0.147	-0.1772
NI	0.40028	-0.21853
NKE	0.31155	-2.37385
NMK	0.14592	0.04389
NOC	2.4588	1.64021
NOVL	0.27075	-0.125625
NSC	0.33424	-0.03972
NSI	0.24723	-0.02538
NSM	1.0809	-0.48532
NT	0.74905	-0.44875
NTAP	3.155625	-0.792375
NTRS	0.6454375	-0.25915625
NUE	0.83088	0.00427
NVLS	2.8049375	0.35475
NWL	0.46011	-0.1104
NXTL	0.89634375	-1.28978125
NYT	0.90451	0.24705
OAT	0.70046	0.0276
ODP	0.26131	0.00534
OK	0.18791	-0.37647
OKE	0.48046	-0.10069
OMC	1.94226	1.33245
ONE	0.17885	-0.6014
ORCL	0.930875	-0.2276875
OXY	0.12494	-0.28341
P	0.1689	-0.42976
PALM	1.1654375	-0.88659375
PAYX	1.2918125	0.1008125
PB	0.46283	0.25322
PBI	0.78596	-0.22641
PCAR	1.0025	0.6996875
PCG	0.6057	0.18142
PCH	0.50677	0.25538
PCS	0.30477	-0.72491
PD	0.78785	0.22322
PDG	0.23221	0.00738
PEG	0.64461	0.12868
PEP	0.50458	0.28114
PFE	0.63128	-0.16197
PG	0.74525	0.43958
PGL	0.32319	0.00895
PGN	0.5572	-0.11165
PGR	0.40677	-1.14548
PH	0.62123	0.01368
PHA	0.22115	-0.62842
PHM	0.48165	-0.53907
PKI	1.33622	-2.43964
PLL	0.55232	0.26311
PMTC	0.6453125	-0.057125
PNC	0.53815	-0.83054
PNW	0.88018	0.54694
PPG	0.68962	0.1996
PPL	0.67152	0.21834
PSFT	1.533203125	-0.0614375
PTV	0.43521	0.28005
PVN	0.2576	-1.32491
PWER	1.61315625	-0.465484375
PX	1.02102	0.13665
Q	0.7389	-0.30686
QCOM	2.70134375	-1.2003125
QLGC	3.129125	-2.1545625
QTRN	0.637125	0.09775
R	0.25166	-0.06502
RAL	0.0913	0.01623
RBK	0.26852	-1.45758
RD	0.62346	0.16195
RDC	0.22381	-0.36981
REI	0.80538	0.22487
RGBK	0.4181875	0.21025
RHI	0.28622	-0.29688
RIG	0.5112	-0.71951
RKY	0.68852	0.3432
ROH	0.89404	-0.10091
ROK	1.08835	-0.01829
RSH	1.13231	-0.75678
RTN.B	0.65443	-0.05143
RX	0.5189	0.1632
S	0.62159	0.15755
SAFC	0.402	-0.9054375
SANM	2.67834375	0.2264375
SAPE	0.659875	-0.1513125
SBC	0.80001	-0.08836
SBL	1.4384	0.44023
SBUX	1.2564375	0.2345625
SCH	0.57203	-0.15127
SEBL	3.585015625	-1.0928125
SEE	0.8841	0.19245
SFA	1.4501	-1.31568
SGP	1.42779	0.72431
SHW	0.24626	-0.48977
SIAL	0.63028125	0.40253125
SLB	0.58389	-0.45305
SLE	0.25887	-0.09522
SLM	1.59302	0.76843
SLR	1.37865	0.50761
SNA	0.28756	-0.18122
SNV	0.09506	-0.33826
SO	0.18832	-0.2197
SOTR	0.3525625	-0.1605625
SPC	0.43723	-0.56318
SPLS	0.3641875	-0.2528125
SRE	0.35841	0.1884
STI	0.50441	-0.6626
STJ	0.48345	-0.44971
STT	1.35738	-1.2944
SUB	0.23724	-0.47153
SUN	0.70954	0.23415
SUNW	0.689484375	-0.795765625
SV	0.6609	-0.65366
SVU	0.24637	0.06182
SWK	0.72401	0.35218
SWY	0.97158	0.42474
SYK	0.8641	0.5724
SYY	0.24696	-0.04883
T	0.54976	0.14654
TEK	1.001	-0.78733
TER	1.90753	0.52605
TGT	0.7609	-0.65706
THC	0.22815	-0.44095
TIF	0.2618	-0.62426
TIN	1.00932	-0.14219
TJX	0.59878	-0.0824
TKR	0.38685	0.13626
TLAB	2.4359375	-0.4415625
TMK	0.18469	-0.68765
TMO	0.33222	-0.09483
TNB	0.1715	-0.14779
TOS	0.31995	-0.36343
TOY	0.2719	-0.12866
TRB	0.96573	0.21215
TROW	0.473421875	-0.563328125
TRW	0.2156	-0.67599
TSG	0.60719	-0.29574
TUP	0.26627	-0.13457
TX	0.78319	0.0392
TXN	1.08232	-0.30147
TXT	1.26243	0.65376
TXU	0.51125	0.09074
TYC	0.42817	-0.8732
U	0.75365	0.26461
UCL	0.44223	-0.20036
UIS	0.6216	-0.00802
UN	0.36276	-0.20303
UNH	0.56975	-1.17673
UNM	0.32149	-0.43851
UNP	0.89001	0.1058
UPC	0.32691	-0.442
USB	0.30087	-0.25724
UST	0.49081	0.10633
UTX	1.57545	0.56775
UVN	0.3815	-0.91491
VC	0.14292	-0.13716
VFC	0.20622	-0.50504
VIA.B	0.8401	0.5097
VMC	0.29819	-0.33394
VRTS	5.1076875	1.28075
VTSS	2.6231875	-2.22971875
VZ	0.75144	-0.73227
W	0.53009	0.1424
WAG	1.03535	0.44828
WB	0.46028	-0.33812
WCOM	0.384625	-0.5900625
WEN	0.35731	-0.13863
WFC	0.39771	-0.74995
WHR	0.70576	-0.19216
WIN	0.57693	0.30434
WLL	0.12835	-0.02761
WLP	0.50878	-2.15004
WM	0.23498	-0.35164
WMB	0.13998	-1.07575
WMI	0.30679	-0.12383
WMT	0.77315	-0.83073
WOR	0.15507	-0.00909
WPI	0.765	0.0303
WWY	0.68558	0.1765
WY	1.60263	0.66103
X	0.34634	0.00896
XEL	0.3536	-0.0853
XLNX	2.9954375	-0.8830625
XOM	0.575	-0.46156
XRX	0.04505	-0.21253
YHOO	2.1171875	0.1103125
YUM	1.23879	0.48094
